reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,unique_id,appId
0c84305f-843f-4e18-b5fc-ffa9f0c42dcb,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,This app was phenomenal when I had first downloaded it around the beginning of 2021 but now it is full of pay to use features like every other app they have ruined a once wonderful app. Maybe one day it'll be a good app again but until then I have uninstalled and will NOT use.,2,0,1.1.52,2022-06-04 04:25:28,"Thanks for the feedback! If you're curious to learn more about the costs associated with models/features then we recommend reading the article titled ""AI Magic: What It Takes To Run AI Language Models"" in https://latitude.io/#news Thanks again!",2022-06-06 18:15:18,1.1.52,gam6770,com.aidungeon
28b1475b-938d-4965-beff-4c5802b424a6,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Before the a.i was clunky but now I can't even find the app on my phone. I've tried uninstalling it and redownloading it but the app doesn't show up on my phone. I can't even open it through the app store. It doesn't even give me the option.,1,8,1.1.153,2022-08-07 17:42:52,,,1.1.153,gam5872,com.aidungeon
70a8684d-9b48-4e6c-a195-cd625b28ff13,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,It's ok just after that update with the limited actions is annoying but all around great game,5,0,1.1.172,2022-12-11 17:55:57,Great news! We released a new update called Unchained. Ads no longer inhibit gameplay and all players have unlimited access to our base AI model (Griffin). Learn more at https://aidungeon.io/unchained :),2022-12-12 18:04:15,1.1.172,gam13800,com.aidungeon
541fb925-4a3d-4f89-920f-9ae2fbae5cec,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Genuinely good no ads interrupting you the AI is good my only problem is that typing in it appears to generate lag and lots of it. If there's any way to fix this typing lag please do Otherwise perfect,4,0,1.1.172,2023-02-10 21:19:51,,,1.1.172,gam6118,com.aidungeon
bff58d8d-2f11-49e5-ba2e-5dcd1e3cd2e9,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,My main issue with this app the new ad System i understand its for money or something but why every Second There are a lot of bugs as well such as it wont let me submit what i type i also dont understand why the energy is gone i liked it better personally im ok with the new layout Thats why it isnt 1 star i hope you can fix these issues soon i did genuinly Enjoy using this app.,2,1,1.1.147,2022-06-28 22:49:50,We would love to look into any issues you might be experiencing. Please reach out to us at support@aidungeon.io :) Great news! We released a new update called Unchained. Ads no longer inhibit gameplay; all players have unlimited access to our base AI model (Griffin). Learn more at https://aidungeon.io/unchained.,2023-01-18 16:28:11,1.1.147,gam6570,com.aidungeon
3b3602b0-8f01-4e0a-9fd1-738bfd895106,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,it's really great for creating the things in our mind to realty,5,0,1.1.134,2022-05-19 16:33:43,,,1.1.134,gam17087,com.aidungeon
2846fe12-6489-472b-8124-2f86ec643c3a,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,I really used to enjoy this app but now the way they are using the subscription service and the energy makes the game no longer fun or enjoyable in the slightest.,1,3,1.1.49,2023-01-19 14:32:26,Hey Percy! Just wanted to clarify the energy bar and system was removed. You can play for as long as you want with no limits. Ads also no longer interrupt gameplay and you can enjoy unlimited actions when using out base AI model. Try the update and let us know if you have any questions or concerns at support@aidungeon.io. Thanks :),2023-01-20 11:41:10,1.1.49,gam10629,com.aidungeon
e41a78de-3df6-4dcf-9cc8-6d05ea5b2857,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,I hate this game due to the stupid energy system I get it your servers cost but this is an insult to the playerbase and me.,1,1,1.1.168,2022-09-13 13:15:38,Please try out our newest update called Unchained! Free play allows for unlimited actions on our base AI model (Griffin). Learn more at https://aidungeon.io/unchained. Weve also made other performance improvements with more planned for the future :) Reach out to us at support@aidungeon.io if you have any additional concerns happy to help.,2023-01-06 21:40:05,1.1.168,gam15823,com.aidungeon
ddc53789-96cf-4a12-98cd-0effde89c165,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Very fun. Intuitive interface. The AI is well-optimized to adapt to story telling. There are numerous very well-written and clearly explained tutorials on how to navigate the various functions. It really let's you build any word you can imagine totally dynamically and the AI will adapt the story to your choices in real time.,5,15,1.2.49,2024-06-17 21:35:05,,,1.2.49,gam1218,com.aidungeon
721a01b3-ef18-41d5-9436-e5e6f79f509f,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,I have a bone to pick about the text bar for some reason it glitches out but come to find out the cause has to do with the customizations. By any chance in the late future it can be fixed. Oh and another thing I don't understand why a entry of a story card can't be what we see when included into a character but the bottom part is allowed to be so vast. Can that be switched so we can add a truck ton of info on the bottom one which gives the AI a good read on the story cards?,4,3,,2024-05-23 02:24:14,Hey there! Based on our review dashboard it looks like you're using Android 9 which is no longer supported by Google. For an improved experience try playing through your browser or using an updated Android version. We would be happy to consider any suggestions or feedback you have please reach out to us at support@aidungeon.com.,2024-05-23 13:09:55,,gam2617,com.aidungeon
